Track URI;Track Name;Artist Name(s)
spotify:track:synA000000000000000001;Drift;The Placeholders
spotify:track:synA000000000000000002;Quiet Tide;Sample Collective
spotify:track:synA000000000000000003;Window Light;Lorem Beats
spotify:track:synA000000000000000004;Slow Rain;Stub Choir
spotify:track:synA000000000000000005;Almost Morning;Fixture Six
spotify:track:synA000000000000000006;Vellum;Yield Returns
spotify:track:synA000000000000000007;Hush Field;Mock Anthem
spotify:track:synA000000000000000008;Paper Lantern;Synthetic Sunrise
spotify:track:synA000000000000000009;First Frost;Test Signal, Dummy Vox
spotify:track:synA000000000000000010;Linen;The Placeholders
spotify:track:synA000000000000000011;Soft Pulse;Lorem Beats
spotify:track:synA000000000000000012;Late Sun;Fixture Six
spotify:track:synB000000000000000001;Neon Vector;Glitch Quartet
spotify:track:synB000000000000000002;Pulse Sprint;Carousel Dynamics
spotify:track:synB000000000000000003;City Loop;The Placeholders
spotify:track:synB000000000000000004;Glitter Hooks;Mock Anthem
spotify:track:synB000000000000000005;Floor Plan;Sample Collective
spotify:track:synB000000000000000006;Heart Drum;Stub Choir, Dummy Vox
spotify:track:synB000000000000000007;Bright Static;Yield Returns
spotify:track:synB000000000000000008;Carousel;Fixture Six
spotify:track:synB000000000000000009;Skyline Bounce;Lorem Beats
spotify:track:synB000000000000000010;Confetti;Synthetic Sunrise
spotify:track:synB000000000000000011;Open Top;Glitch Quartet
spotify:track:synB000000000000000012;Hold Steady;Test Signal
spotify:track:synC000000000000000001;Heavy Engine;Iron Lattice
spotify:track:synC000000000000000002;Black Glass;Tower Run
spotify:track:synC000000000000000003;Drone Stack;Iron Lattice
spotify:track:synC000000000000000004;Magnet;Volt Index
spotify:track:synC000000000000000005;Crushed Velvet;Tower Run
spotify:track:synC000000000000000006;Iron Sky;Iron Lattice
spotify:track:synC000000000000000007;Volt;Volt Index
spotify:track:synC000000000000000008;Sub Tunnel;Tower Run, Volt Index
spotify:track:synX000000000000000001;Test Phantom;Unknown Provider
spotify:track:synX000000000000000002;Missing Index;Off-Catalogue Trio
spotify:track:synX000000000000000003;Null Wave;Unknown Provider
